dataset_id,start_year,project_name,ctd_sn,rutgers,,Rutgers Total,Total
otn200-20130910T1551,2013,GP2013,24,0,,,
otn201-20130916T1448,2013,GP2013,31,0,,,
penobscot-20130910T1658,2013,GP2013,74,0,,,
salacia-20130916T1603,2013,GP2013,103,0,,,
saul-20130906T1504,2013,GP2013,77,0,,,
blue-20120401T2023,2012,MARACOOS,61,1,,,
blue-20120531T1413,2012,MARACOOS,61,1,,,
blue-20120907T1628,2012,MARACOOS,61,1,,,
ru01-20120617T1449,2012,ICOOL,153,1,,,
ru05-20120119T1449,2012,LTER,76,1,,,
ru05-20120216T1757,2012,LTER,76,1,,,
ru05-20120808T1840,2012,SBC,81,1,,,
ru05-20120912T1814,2012,SBC,81,1,,,
ru06-20120107T1538,2012,LTER,138,1,,,
ru06-20120216T2035,2012,LTER,138,1,,,
ru06-20120803T1645,2012,SBC,138,1,,,
ru06-20121207T2001,2012,LTER,36,1,,,
ru07-20120607T1540,2012,EPA,80,1,,,
ru07-20120913T1512,2012,EPA,80,1,,,
ru10-20120323T1638,2012,eline,36,1,,,
ru23-20120912T1757,2012,SBC,138,1,,,
ru24-20120118T1748,2012,LTER,139,1,,,
ru24-20120124T1853,2012,LTER,139,1,,,
ru24-20120216T1742,2012,LTER,139,1,,,
ru24-20120224T1713,2012,LTER,139,1,,,
ru24-20121207T2035,2012,LTER,139,1,,,
ru25d-20120520T1307,2012,ICOOL-Atlantic,156,1,,,
ru25d-20121218T1941,2012,LTER,156,1,,,
ru26d-20121222T1945,2012,LTER,194,1,,,
ru28-20120710T1438,2012,EPA,103,1,,,
ru28-20120814T1519,2012,EPA,103,1,,,
ru29-20120619T1719,2012,Challenger,98,1,,,
ud_275-20121005T1417,2012,MARACOOS,99,1,,,
darwin-20120514T1503,2012,TWRC-RU,32,0,,,
darwin-20120907T1505,2012,TWRC-RU,101,0,,,
silbo-20120307T1030,2012,Challenger,34,0,,,
silbo-20120724T1247,2012,Challenger,34,0,,,
unit_159-20120828T1830,2012,CWBCS,169,0,,,
unit_167-20120828T2105,2012,CWBCS,170,0,,,
ru05-20110108T1549,2011,LTER,76,1,,,
ru05-20110118T1551,2011,LTER,76,1,,,
ru05-20110128T0546,2011,LTER,76,1,,,
ru05-20111214T2032,2011,LTER,76,1,,,
ru06-20110101T2108,2011,ASPIRE,153,1,,,
ru06-20110201T0312,2011,ross,153,1,,,
ru06-20110903T1628,2011,SBC,153,1,,,
ru06-20110920T1646,2011,SBC,138,1,,,
ru07-20110204T2215,2011,ross,175,1,,,
ru07-20111006T1820,2011,EPA,101,1,,,
ru07-20111122T1423,2011,MURI,121,1,,,
ru07-20111214T1711,2011,MURI,121,1,,,
ru10-20111210T1200,2011,eline,121,1,,,
ru15-20110902T1403,2011,MARCOOS,175,1,,,
ru15-20111018T1713,2011,MARACOOS,175,1,,,
ru16-20110805T1745,2011,EPA,55,1,,,
ru16-20110810T1330,2011,EPA,55,1,,,
ru21-20110112T0121,2011,LTER,0,1,,,
ru22-20110407T1900,2011,MARCOOS,148,1,,,
ru22-20110802T1624,2011,MARCOOS,148,1,,,
ru22-20110823T1112,2011,eline,148,1,,,
ru23-20110414T1338,2011,MURI,121,1,,,
ru23-20110817T1409,2011,MURI,121,1,,,
ru24-20110110T1351,2011,LTER,139,1,,,
ru25d-20110103T1405,2011,LTER,156,1,,,
ru25d-20110821T1809,2011,OOI,156,1,,,
ru26d-20111116T1717,2011,LTER,194,1,,,
ru26d-20111120T1554,2011,LTER,194,1,,,
ru28-20110701T1525,2011,EPA,57,1,,,
ru28-20110713T2010,2011,EPA,57,1,,,
ud_134-20110110T2238,2011,LTER,140,1,,,
ud_134-20110115T2355,2011,LTER,140,1,,,
ud_134-20111221T2030,2011,LTER,140,1,,,
silbo-20110413T1600,2011,Challenger,34,0,,,
silbo-20110623T1215,2011,Challenger,34,0,,,
unit_197-20110902T2037,2011,SBC,20,0,,,
unit_203-20110121T1840,2011,MTR,33,0,,,
ru01-20100803T1618,2010,eline,81,1,,,
ru06-20100108T1145,2010,LTER,153,1,,,
ru06-20100117T2255,2010,LTER,153,1,,,
ru06-20100125T2305,2010,LTER,153,1,,,
ru06-20100127T1655,2010,LTER,153,1,,,
ru06-20101216T0320,2010,ASPIRE,153,1,,,
ru06-20101230T0150,2010,ASPIRE,153,1,,,
ru07-20100203T1806,2010,eline,81,1,,,
ru10-20101010T1730,2010,MURI,121,1,,,
ru16-20100820T1425,2010,NJDEP,101,1,,,
ru16-20100901T1445,2010,NJDEP,101,1,,,
ru16-20100924T1545,2010,NJDEP,101,1,,,
ru16-20101008T1325,2010,NJDEP,101,1,,,
ru16-20101102T1739,2010,NJDEP,101,1,,,
ru21-20100319T1455,2010,MURI,121,1,,,
ru21-20100517T1555,2010,IOOS,55,1,,,
ru21-20100722T1631,2010,eline,0,1,,,
ru22-20100302T2110,2010,MARCOOS,148,1,,,
ru22-20100923T1426,2010,MURI,148,1,,,
ru22-20101025T1558,2010,MARCOOS,148,1,,,
ru23-20100603T1540,2010,IOOS,121,1,,,
ru23-20100622T2018,2010,IOOS,121,1,,,
ru23-20100803T1953,2010,IOOS,121,1,,,
ru23-20101001T1850,2010,IOOS,55,1,,,
ru23-20101104T1440,2010,IOOS,55,1,,,
ru25d-20101218T1500,2010,LTER,156,1,,,
ru26d-20100319T1750,2010,CaRA,194,1,,,
ru26d-20100320T2121,2010,CaRA,194,1,,,
ru26d-20100321T1500,2010,CaRA,194,1,,,
ru26d-20100402T1556,2010,CaRA,194,1,,,
ru26d-20101211T0245,2010,ross,194,1,,,
ud_134-20100602T1515,2010,IOOS,152,1,,,
ud_134-20100630T1825,2010,IOOS,152,1,,,
ud_134-20100702T1555,2010,IOOS,152,1,,,
cook-20100321T1440,2010,TWRC-RU,137,0,,,
nemesis-20101126T1545,2010,TWRC-RU,181,0,,,
sam-20100527T2035,2010,IOOS,127,0,,,
sam-20100713T1913,2010,IOOS,127,0,,,
unit_203-20101215T2313,2010,MTR,33,0,,,
usf-bass-20100523T1325,2010,IOOS,126,0,,,
usf-bass-20100608T1800,2010,IOOS,126,0,,,
usf-bass-20100622T1500,2010,IOOS,126,0,,,
waldo-20100525T1935,2010,IOOS,111,0,,,
waldo-20100615T1928,2010,IOOS,111,0,,,
waldo-20100719T1854,2010,IOOS,111,0,,,
waldo-20100903T1835,2010,IOOS,111,0,,,
ru01-20090213T1157,2009,CalVal,36,1,,,
ru05-20090119T1757,2009,LTER,76,1,,,
ru05-20090820T1557,2009,NJDEP,152,1,,,
ru05-20090826T1701,2009,NJDEP,152,1,,,
ru05-20091030T1653,2009,OSSE,152,1,,,
ru06-20090624T1918,2009,eline,153,1,,,
ru06-20091202T1424,2009,LTER,153,1,,,
ru06-20091224T0015,2009,LTER,139,1,,,
ru07-20090121T1839,2009,eline,81,1,,,
ru07-20090630T1515,2009,NORUS,148,1,,,
ru07-20090721T1251,2009,NORUS,148,1,,,
ru15-20091015T1421,2009,MURI,121,1,,,
ru16-20090213T1304,2009,CalVal,111,1,,,
ru16-20091124T1839,2009,NORUS,36,1,,,
ru21-20090313T1438,2009,MURI,166,1,,,
ru21-20090721T2215,2009,PWSP,101,1,,,
ru21-20091030T1633,2009,OSSE,148,1,,,
ru22-20090322T1354,2009,MARCOOS,121,1,,,
ru22-20090921T1654,2009,MARCOOS,80,1,,,
ru23-20090313T1913,2009,MARCOOS,138,1,,,
ru23-20090921T1813,2009,eline,0,1,,,
ru23-20091030T1601,2009,OSSE,0,1,,,
ru24-20090624T1840,2009,eline,139,1,,,
ru24-20091202T1430,2009,LTER,139,1,,,
ru25d-20090204T0117,2009,CaRA,137,1,,,
ru25d-20091111T1255,2009,LTER,156,1,,,
ru27-20090218T1500,2009,Challenger,148,1,,,
ru27-20090427T1615,2009,Challenger,148,1,,,
ud_134-20091105T1752,2009,OSSE,145,1,,,
drake-20090809T0618,2009,TWRC-RU,108,0,,,
ru01-20080613T1429,2008,BALTOPS,18,1,,,
ru01-20080923T0900,2008,CalVal,36,1,,,
ru05-20080403T1505,2008,MURI,36,1,,,
ru05-20080515T2208,2008,ESPreSSO,36,1,,,
ru05-20080608T1510,2008,ESPreSSO,36,1,,,
ru05-20080707T2325,2008,RIMPAC,36,1,,,
ru05-20080718T2230,2008,RIMPAC,36,1,,,
ru05-20081213T1410,2008,LTER,76,1,,,
ru06-20080314T1447,2008,MURI,76,1,,,
ru07-20080424T2012,2008,eline,55,1,,,
ru07-20081014T1700,2008,eline,81,1,,,
ru10-20080314T1600,2008,MARCOOS,80,1,,,
ru10-20080430T1700,2008,eline,80,1,,,
ru10-20080904T1800,2008,eline,80,1,,,
ru15-20080307T1725,2008,ICOOL,38,1,,,
ru15-20081014T1705,2008,ESPreSSO,38,1,,,
ru15-20081214T1659,2008,eline,138,1,,,
ru16-20080516T1617,2008,ESPreSSO,111,1,,,
ru16-20080703T0534,2008,RIMPAC,111,1,,,
ru16-20080923T1109,2008,CalVal,111,1,,,
ru17-20080521T1758,2008,Challenger,82,1,,,
ru18-20080911T1500,2008,MURI,100,1,,,
ru20-20080314T1357,2008,MURI,60,1,,,
ru20-20080430T1645,2008,eline,101,1,,,
ru20-20081017T1610,2008,ESPreSSO,117,1,,,
ru22-20080731T1700,2008,eline,121,1,,,
ru22-20080917T1555,2008,MARCOOS,121,1,,,
ru23-20081111T1702,2008,eline,138,1,,,
ru01-20070201T1606,2007,eline,74,1,,,
ru01-20070307T1434,2007,midshelf,74,1,,,
ru01-20070718T1541,2007,MARCOOS,82,1,,,
ru01-20070824T1445,2007,CBLAST,81,1,,,
ru01-20071128T1934,2007,MURI,36,1,,,
ru05-20070824T1411,2007,CBLAST,36,1,,,
ru05-20070925T1542,2007,MURI,36,1,,,
ru06-20070109T1733,2007,LTER,76,1,,,
ru06-20070426T1727,2007,MURI,76,1,,,
ru06-20070626T2240,2007,eline,76,1,,,
ru06-20070815T1648,2007,CBLAST,76,1,,,
ru06-20070913T1811,2007,CBLAST,76,1,,,
ru06-20071005T1438,2007,MARCOOS,76,1,,,
ru07-20070702T1728,2007,eline,55,1,,,
ru10-20070809T2007,2007,eline,80,1,,,
ru15-20070403T1449,2007,eline,38,1,,,
ru15-20070607T1735,2007,eline,38,1,,,
ru15-20070702T1723,2007,eline,38,1,,,
ru15-20070906T1712,2007,eline,38,1,,,
ru16-20070123T1639,2007,eline,81,1,,,
ru16-20070313T1351,2007,MURI,81,1,,,
ru16-20070619T1626,2007,eline,81,1,,,
ru16-20070718T1351,2007,MURI,81,1,,,
ru16-20071019T1235,2007,CaRA,81,1,,,
ru17-20070523T1644,2007,MURI,55,1,,,
ru17-20070809T2040,2007,Challenger,82,1,,,
ru17-20071211T1955,2007,Challenger,82,1,,,
ru01-20060719T1936,2006,SW06,18,1,,,
ru01-20060822T1914,2006,SW06,18,1,,,
ru05-20060112T1642,2006,eline,36,1,,,
ru05-20060406T1539,2006,eline,36,1,,,
ru05-20060427T1451,2006,eline,36,1,,,
ru05-20060531T1733,2006,eline,76,1,,,
ru05-20060624T0215,2006,RIMPAC,76,1,,,
ru05-20060627T0015,2006,RIMPAC,76,1,,,
ru05-20060628T0016,2006,RIMPAC,76,1,,,
ru05-20060707T1918,2006,RIMPAC,76,1,,,
ru05-20060807T1821,2006,SW06,36,1,,,
ru05-20060908T1625,2006,SW06,36,1,,,
ru06-20060426T1400,2006,LaTTE,55,1,,,
ru06-20060802T1814,2006,ASAP,55,1,,,
ru06-20060824T2145,2006,ASAP,55,1,,,
ru06-20060917T1647,2006,hb,55,1,,,
ru06-20060926T1733,2006,hb,55,1,,,
ru07-20060503T0228,2006,LaTTE,35,1,,,
ru07-20060518T1746,2006,eline,35,1,,,
ru07-20060614T1455,2006,eline,35,1,,,
ru07-20060712T1427,2006,SW06,35,1,,,
ru07-20060731T1629,2006,SW06,35,1,,,
ru07-20060822T1656,2006,SW06,35,1,,,
ru09-20060712T1355,2006,SW06,81,1,,,
ru09-20060717T1945,2006,SW06,81,1,,,
ru09-20060802T1739,2006,SW06,81,1,,,
ru09-20060809T1503,2006,SW06,81,1,,,
ru09-20060905T1912,2006,SW06,81,1,,,
ru10-20060731T1641,2006,SW06,80,1,,,
ru10-20060817T1637,2006,SW06,80,1,,,
ru11-20060731T1911,2006,SW06,78,1,,,
ru11-20060817T1718,2006,SW06,78,1,,,
ru12-20060731T2002,2006,SW06,79,1,,,
ru12-20060822T1703,2006,SW06,79,1,,,
ru12-20061110T1708,2006,eline,79,1,,,
ru14-20061107T1708,2006,eline,77,1,,,
darwin-20060117T0223,2006,perth,32,0,,,
jane-20060719T1932,2006,SW06,0,0,,,
ru01-20050517T1406,2005,eline,18,1,,,
ru01-20050713T1620,2005,eline,18,1,,,
ru01-20050922T1037,2005,SHAREM151,18,1,,,
ru02-20050419T1345,2005,MIREM,11,1,,,
ru02-20050706T1249,2005,EDDIES,11,1,,,
ru02-20050809T1940,2005,EDDIES,11,1,,,
ru05-20050418T1527,2005,LaTTE,36,1,,,
ru05-20050713T1543,2005,eline,36,1,,,
ru05-20050809T1403,2005,eline,36,1,,,
ru05-20050908T1608,2005,CBLAST,36,1,,,
ru05-20051006T1430,2005,CBLAST,36,1,,,
ru05-20051212T1845,2005,eline,36,1,,,
ru06-20050906T0549,2005,GLOBEC,55,1,,,
ru06-20051026T1104,2005,LBCO,55,1,,,
ru07-20050922T1407,2005,SHAREM151,35,1,,,
ru08-20051006T1457,2005,CBLAST,59,1,,,
ru01-20040115T1550,2004,EcoHAB,36,1,,,
ru01-20040504T1350,2004,LaTTE-eline,36,1,,,
ru01-20040608T1430,2004,eline,36,1,,,
ru01-20040629T1320,2004,eline,36,1,,,
ru01-20040726T1435,2004,EcoHAB,36,1,,,
ru01-20040802T1700,2004,EcoHAB,36,1,,,
ru01-20040817T1500,2004,eline,36,1,,,
ru01-20040928T1910,2004,eline,36,1,,,
ru02-20040114T1830,2004,eline,11,1,,,
ru02-20040205T1355,2004,eline,11,1,,,
ru02-20040429T1515,2004,LaTTE,11,1,,,
ru02-20040731T0555,2004,AOPEX,11,1,,,
ru02-20040804T0430,2004,AOPEX,11,1,,,
ru02-20040806T0555,2004,AOPEX,11,1,,,
ru02-20040812T0530,2004,AOPEX,11,1,,,
ru02-20040814T0835,2004,AOPEX,11,1,,,
ru02-20040916T1455,2004,eline,11,1,,,
ru02-20041029T1345,2004,eline,11,1,,,
ru02-20041130T1530,2004,eline,11,1,,,
ru04-20040601T1645,2004,LaTTE,0,1,,,
ru01-20031105T2000,2003,EcoHAB,36,1,,,
ru01-20031112T1630,2003,EcoHAB,36,1,,,
ru02-20031104T1900,2003,EcoHAB,11,1,,,
ru03-20031028T1656,2003,eline,30,1,,,
ru03-20031203T1800,2003,eline,30,1,,,
ru04-20031105T1930,2003,EcoHAB,0,1,,,
